name,red,green,blue,alpha,id
Keurig_low,90,118,9,255,5
CoffeeMaker_low,90,118,9,255,5
Carafe_low,90,118,9,255,5
CardboardBox01,90,118,9,255,5
Kallax_Box5,90,118,9,255,5
Closet_Metal,60,106,7,255,8
Closet_Door_R,60,106,7,255,8
Closet_Door_L,60,106,7,255,8
W_3x,110,222,2,255,10
TableWooden_B,38,81,5,255,9
W_6x_Door,110,222,2,255,10
Soderhamn_Pillows2,10,179,8,255,7
Soderhamn_Pillows3,10,179,8,255,7
Soderhamn_Pillows5,10,179,8,255,7
Soderhamn_Pillows1,10,179,8,255,7
Soderhamn,10,179,8,255,7
Soderhamn_Pillows4,10,179,8,255,7
Soderhamn_Pillows6,10,179,8,255,7
Paper02,90,118,9,255,5
CeilingLamp_Embed,211,155,1,255,11
Alu_Chair,176,229,6,255,2
Door_Metal_Gray,221,218,4,255,1
Couch_Fabric_1seat,10,179,8,255,7
KitchenChair_Wooden,176,229,6,255,2
Books2,90,118,9,255,5
Books2_1,90,118,9,255,5
Books2_4,90,118,9,255,5
Hemnes_Shelf,60,106,7,255,8
Book_Set,90,118,9,255,5
Books,90,118,9,255,5
Books2_7,90,118,9,255,5
Book_3,90,118,9,255,5
Book_2,90,118,9,255,5
Book_1,90,118,9,255,5
Book_A,90,118,9,255,5
Book_C,90,118,9,255,5
FP_Vase_B,90,118,9,255,5
Dresser_A,60,106,7,255,8
Folder01,90,118,9,255,5
FolderHolder_WithFiles,90,118,9,255,5
Folder02,90,118,9,255,5
Door_Wooden_Black,221,218,4,255,1
W_1x,110,222,2,255,10
Paper,90,118,9,255,5
CorkBoard,110,222,2,255,10
Sticker01,90,118,9,255,5
Sticker03,90,118,9,255,5
Sticker02,90,118,9,255,5
TableScreen_C,38,81,5,255,9
W_6x,110,222,2,255,10
Phone,90,118,9,255,5
W_3x_Window_Large_A,110,222,2,255,10
TableSet_Coffe,90,118,9,255,5
Garage_Cardbox,90,118,9,255,5
Painting_Photo_C,110,222,2,255,10
Plant_InteriorHouse_Aglaonema,90,118,9,255,5
WhiteBoard_Walll,110,222,2,255,10
W_Pilar_Small,110,222,2,255,10
Pencil,90,118,9,255,5
File_Papers,90,118,9,255,5
LP_Magazine,90,118,9,255,5
Book_Magazine,90,118,9,255,5
KP_Coffee_Mug,90,118,9,255,5
Book_B,90,118,9,255,5
A_Newspaper,90,118,9,255,5
MetalCabinet,60,106,7,255,8
Door_L,60,106,7,255,8
Door_R,60,106,7,255,8
Drawer_B,60,106,7,255,8
Files_Drawer_Openable,60,106,7,255,8
Drawer_A,60,106,7,255,8
Picture6,90,118,9,255,5
Frame6,90,118,9,255,5
AirventilationGrid_A,211,155,1,255,11
Skogsta,38,81,5,255,9
W_3x_Door,110,222,2,255,10
SideTableDark_Large,60,106,7,255,8
Painting_Diploma,110,222,2,255,10
NightTable_Drawer,60,106,7,255,8
NightTable_Door_A,60,106,7,255,8
NightTable_Door_B,60,106,7,255,8
NightTable,60,106,7,255,8
Mac,90,118,9,255,5
PaperBag01,90,118,9,255,5
Plant_InteriorHouse_Yucca,90,118,9,255,5
TableWooden,38,81,5,255,9
Kallax_Box4,90,118,9,255,5
FileFolder,90,118,9,255,5
Lamp_Table,90,118,9,255,5
Painting_Pic,110,222,2,255,10
Stockholm_Bowl,90,118,9,255,5
Books2_3,90,118,9,255,5
Carpet_Bronden,143,171,0,255,0
D_TV_Wall,110,222,2,255,10
TableSet_WoodDish,90,118,9,255,5
Table_Flag,90,118,9,255,5
Bookshelf,60,106,7,255,8
Garage_PlasticBox,90,118,9,255,5
Vases3_4,90,118,9,255,5
KitchenChair_Fabric,176,229,6,255,2
Picture2,110,222,2,255,10
Frame2,110,222,2,255,10
Ypperlig_Table,38,81,5,255,9
Desk_Drawer,38,81,5,255,9
Desk,38,81,5,255,9
Mac_Keyboard,90,118,9,255,5
Plant_Inside_Large,90,118,9,255,5
Kallax_Box1,90,118,9,255,5
Board_Glass,90,118,9,255,5
Board_Low,110,222,2,255,10
Book_Open,90,118,9,255,5
Box_Black,90,118,9,255,5
MetalCabinet_GridDoors,60,106,7,255,8
Mac_Mouse,90,118,9,255,5
Painting_Photo_A,90,118,9,255,5
SideTable_Door_R,60,106,7,255,8
SideTable_Door_L,60,106,7,255,8
SideTable_Large,60,106,7,255,8
Graphics,90,118,9,255,5
LCD_Screen_2,227,69,3,255,4
Table_Main,38,81,5,255,9
FolderHolder,90,118,9,255,5
Keyboard,90,118,9,255,5
Trashcan,90,118,9,255,5
Mouse,90,118,9,255,5
Pen,90,118,9,255,5
Mug_WithPens,90,118,9,255,5
Fan_Blades,90,118,9,255,5
MousePad,90,118,9,255,5
Chair_LeatherOffice,176,229,6,255,2
Table_DrawerSmall,38,81,5,255,9
Table_Drawer,38,81,5,255,9
FanTable,90,118,9,255,5
Floor,143,171,0,255,0
Ceiling,211,155,1,255,11
Kallax_1x4,60,106,7,255,8
Table_Drawer_Openable,38,81,5,255,9
Bottle,90,118,9,255,5
Cardboard,90,118,9,255,5
Box_Gray,90,118,9,255,5
Selsligt2,90,118,9,255,5
Selsligt1,90,118,9,255,5
Stockholm_Vase3,90,118,9,255,5
Garage_PaperBag,90,118,9,255,5
Cardboard2,90,118,9,255,5
Branas,90,118,9,255,5
Box_Cardboard,90,118,9,255,5
Table_Office,38,81,5,255,9
Drawer_Large,38,81,5,255,9
Pello_Wood,176,229,6,255,2
AirventilationGrid_B,211,155,1,255,11
Painting_F,110,222,2,255,10
PC,90,118,9,255,5
Livslang_Tall,90,118,9,255,5
Cart,90,118,9,255,5
Cube,110,222,2,255,10
PaintingSet_B,110,222,2,255,10
WindowBlinds_B,110,222,2,255,10
Kallax_1x1,90,118,9,255,5
W_2x_glass_B,110,222,2,255,10
Pello_Cloth,176,229,6,255,2
Drawer_Small_B,38,81,5,255,9
Table_DrawerSmall_Openable,38,81,5,255,9
Laptop_1,227,69,3,255,4
WaterSprinkler,211,155,1,255,11
Samspelt,90,118,9,255,5
Lamp_Fluorescent_C,211,155,1,255,11
Picture1,90,118,9,255,5
Lamp_Desk,90,118,9,255,5
MetalShelf_Signle,90,118,9,255,5
WindowBlinds_D,110,222,2,255,10
Books2_2,90,118,9,255,5
Selsligt3,90,118,9,255,5
Kallax_Box2,90,118,9,255,5
Garage_Cabinet,60,106,7,255,8
Floor3x9,143,171,0,255,0
WhiteBoard,90,118,9,255,5
Leather_Bench,10,179,8,255,7
Drawer_Small_A,38,81,5,255,9
Ceiling3x9,211,155,1,255,11
Door,38,81,5,255,9
Book_4,90,118,9,255,5
Painting_G,110,222,2,255,10
Plant_Inside_Small,90,118,9,255,5
TableScreen_B,110,222,2,255,10
Dresser_A_WithBooks,60,106,7,255,8
Paper01,90,118,9,255,5
Livslang_Short,90,118,9,255,5
Lamp_Fluorescent_C_Hang,211,155,1,255,11
Candles_Set_Pot,90,118,9,255,5
Water_DispenserMUG,90,118,9,255,5
Picture3,90,118,9,255,5
Cell_Toilet,90,118,9,255,5
Mug,90,118,9,255,5
Metal_Drawer_SeparateDrawers,60,106,7,255,8
KP_StorageCup_Large,90,118,9,255,5
KP_Lasagne,90,118,9,255,5
Water_Dispenser,60,106,7,255,8
Vases3_5,90,118,9,255,5
Hemnes_Batroom_Tall,60,106,7,255,8
KitchenTable_Small,38,81,5,255,9
KP_Plate,90,118,9,255,5
Painting_D,110,222,2,255,10
KP_Spoons,90,118,9,255,5
PaintingSet_D,110,222,2,255,10
Fridge,60,106,7,255,8
KP_StorageCup_Small,90,118,9,255,5
Idolf,176,229,6,255,2
Chair_Spinning,176,229,6,255,2
KP_Plate_Set,90,118,9,255,5
Books2_5,90,118,9,255,5
KitCabinet_Up_1Â½x_A,60,106,7,255,8
KitCabinet_Up_End,60,106,7,255,8
Lamp_Floor,90,118,9,255,5
Fridge_Doors,60,106,7,255,8
PaintingSet_C,110,222,2,255,10
Drawer_C,60,106,7,255,8
KP_Casserole,90,118,9,255,5
Dresser_B_WithBooks,60,106,7,255,8
KP_CookieBox,90,118,9,255,5
Floor3x6,143,171,0,255,0
Basement_Box,90,118,9,255,5
Laptop_2,227,69,3,255,4
Carpet_SingleSmallRound,143,171,0,255,0
Plane,143,171,0,255,0
Decor_Pot,90,118,9,255,5
Painting_StandPhoto_C,90,118,9,255,5
WorkDesk_Pens,90,118,9,255,5
Frame3,110,222,2,255,10
Flagpole_Wall,90,118,9,255,5
Files_Drawer,60,106,7,255,8
Plane_(1),211,155,1,255,11
Ceiling3x6,211,155,1,255,11
Painting_B,110,222,2,255,10
Painting_StandPhoto_B,90,118,9,255,5
Painting_A,110,222,2,255,10
Stockholm_Vase1,90,118,9,255,5
Table_OfficeDrawer,60,106,7,255,8
Pipe_Holder,211,155,1,255,11
Airventilation_3x,211,155,1,255,11
Kettle,90,118,9,255,5
LCD_ScreenSOLO_1,227,69,3,255,4
Toilet_Paper,90,118,9,255,5
Couch_1seat,10,179,8,255,7
ExitSign_A,90,118,9,255,5
PipeLargeCeiling2x,255,255,255,255,3
Props_Vase2,255,255,255,255,3
CeilingHang,211,155,1,255,11
Kallax_2x1,60,106,7,255,8
WaterSprinklerPipe_CornerRight,90,118,9,255,5
WaterSprinklerPipe_3x,211,155,1,255,11
MetalShelf_Open_WithProps,60,106,7,255,8
Cell_Bed,90,118,9,255,5
Painting_Large_B,110,222,2,255,10
Ceiling_10x10,211,155,1,255,11
Ceiling_5x10,211,155,1,255,11
Couch_2seat,10,179,8,255,7
Painting_Wide_A,90,118,9,255,5
Cell_Sink,90,118,9,255,5
Ceiling_6x12,211,155,1,255,11
Lamp_Fluorescent_B,211,155,1,255,11
CeilingHang01,90,118,9,255,5
Books2_6,90,118,9,255,5
Riggad,90,118,9,255,5
Kallax_Box3,90,118,9,255,5
MetalShelf_Open,60,106,7,255,8
WindowBlinds_A,110,222,2,255,10
PaintingSet_A,90,118,9,255,5
Painting_E,110,222,2,255,10
Floor_10x10,143,171,0,255,0
Floor_5x10,143,171,0,255,0
Sign_Hanging,90,118,9,255,5
Dresser_B,60,106,7,255,8
Painting_C,90,118,9,255,5
TableScreen_A,110,222,2,255,10
LCD_ScreenSOLO_2,227,69,3,255,4
Lamp_Fluorescent_B_Hang,211,155,1,255,11
Hand_Paper,90,118,9,255,5
Floor_6x12,143,171,0,255,0
Trashcan_Metal,90,118,9,255,5
ExitWay_Lamp,90,118,9,255,5
TableSet_Water,90,118,9,255,5
Table_Meeting,38,81,5,255,9
Floor_12x12,143,171,0,255,0
Ceiling_12x12,211,155,1,255,11
Carpet_Tile,143,171,0,255,0
Carpet_End,143,171,0,255,0
W_6x_Window_Large_A,110,222,2,255,10
LCD_Screen_1,227,69,3,255,4
Floor_12x1,143,171,0,255,0
W_6x_DoorDouble,110,222,2,255,10
Couch_3seat,10,179,8,255,7
Cylinder,110,222,2,255,10
Lamp_Spot,110,222,2,255,10
Lamp_SpotBulb,110,222,2,255,10
Cell_Shelf,60,106,7,255,8
Recessed,255,255,255,255,3
tesse_cube,80,138,10,255,6
Missing,255,255,255,255,3
